table,status,jpRows,cnRows,identicalRows,changedRows,jpOnlyRows,cnOnlyRows,jpOnlyFields,cnOnlyFields
"config_assist_fleet","identical",26,26,26,0,0,0,"",""
"config_assist_ship_info","identical",803,803,803,0,0,0,"",""
"config_attribute","identical",107,107,107,0,0,0,"",""
"config_audio","identical",145,145,145,0,0,0,"",""
"config_awaken_task_common","identical",14,14,14,0,0,0,"",""
"config_awaken_task_milestone","identical",20,20,20,0,0,0,"",""
"config_barrage_library","identical",32189,32189,32189,0,0,0,"",""
"config_bathroom_item","identical",1,1,1,0,0,0,"",""
"config_battle_ai","identical",5,5,5,0,0,0,"",""
"config_battle_ai_escape","identical",2,2,2,0,0,0,"",""
"config_battle_ai_fleet","identical",855,855,855,0,0,0,"",""
"config_battle_ai_fleet_escape","identical",3,3,3,0,0,0,"",""
"config_battle_ai_fleet_support","identical",245,245,245,0,0,0,"",""
"config_battle_ai_ship_info","identical",95,95,95,0,0,0,"",""
"config_battle_ai_ship_skill_ratio","identical",57,57,57,0,0,0,"",""
"config_battle_ai_support","identical",1,1,1,0,0,0,"",""
"config_battle_air_control_coefficient","identical",19,19,19,0,0,0,"",""
"config_battle_ammounition_effect","identical",3,3,3,0,0,0,"",""
"config_battle_auto_chat","identical",9,9,9,0,0,0,"",""
"config_battle_config","identical",326,326,326,0,0,0,"",""
"config_battle_fleet_show","identical",63,63,63,0,0,0,"",""
"config_battle_logic_trigger","identical",63,63,63,0,0,0,"",""
"config_battle_logic_trigger_result","identical",142,142,142,0,0,0,"",""
"config_battle_maingun_clip","identical",6,6,6,0,0,0,"",""
"config_battle_qte_effect","identical",4,4,4,0,0,0,"",""
"config_battle_qte_pro","identical",1,1,1,0,0,0,"",""
"config_battle_range","identical",5,5,5,0,0,0,"",""
"config_battle_threat","identical",12,12,12,0,0,0,"",""
"config_battle_torpedogun_combo","identical",6,6,6,0,0,0,"",""
"config_battle_weather","identical",3,3,3,0,0,0,"",""
"config_battlefield_info","identical",214,214,214,0,0,0,"",""
"config_battlefield_resource","identical",2722,2722,2722,0,0,0,"",""
"config_battlefield_resource_blood","identical",18,18,18,0,0,0,"",""
"config_battlepass_level","identical",50,50,50,0,0,0,"",""
"config_battlepass_level_activity","identical",100,100,100,0,0,0,"",""
"config_battlepass_param","identical",1,1,1,0,0,0,"",""
"config_battlepass_param_activity","identical",1,1,1,0,0,0,"",""
"config_battlepass_task","identical",17,17,17,0,0,0,"",""
"config_battlepass_task_activity","identical",17,17,17,0,0,0,"",""
"config_bd_class","identical",3,3,3,0,0,0,"",""
"config_bd_limited","identical",24,24,24,0,0,0,"",""
"config_bd_obj1","identical",5,5,5,0,0,0,"",""
"config_bd_prop","identical",7,7,7,0,0,0,"",""
"config_bd_prop1","identical",3,3,3,0,0,0,"",""
"config_behavior_info","identical",1146,1146,1146,0,0,0,"",""
"config_behaviour_info_queue","identical",1810,1810,1810,0,0,0,"",""
"config_bestrong","identical",6,6,6,0,0,0,"",""
"config_big_activity_chapter","identical",3,3,3,0,0,0,"",""
"config_big_activity_copy_display","identical",55,55,55,0,0,0,"",""
"config_big_activity_reward","identical",10,10,10,0,0,0,"",""
"config_boss_copy_activity","identical",5,5,5,0,0,0,"",""
"config_boss_copy_life","identical",50,50,50,0,0,0,"",""
"config_boss_copy_main","identical",4,4,4,0,0,0,"",""
"config_boss_life_control","identical",240,240,240,0,0,0,"",""
"config_buff_show","identical",669,669,669,0,0,0,"",""
"config_build_formula","identical",4,4,4,0,0,0,"",""
"config_build_quality","identical",2020,2020,2020,0,0,0,"",""
"config_build_ship","identical",30,30,30,0,0,0,"",""
"config_building","identical",10,10,10,0,0,0,"",""
"config_building_camera_parameters","identical",9,9,9,0,0,0,"",""
"config_building_character_story","identical",216,216,216,0,0,0,"",""
"config_building_config","identical",16,16,16,0,0,0,"",""
"config_building_furniture_res","identical",1,1,1,0,0,0,"",""
"config_building_tv_res","identical",1,1,1,0,0,0,"",""
"config_building_wall_res","identical",1,1,1,0,0,0,"",""
"config_buildinginfo","identical",35,35,35,0,0,0,"",""
"config_buildinglevelup","identical",35,35,35,0,0,0,"",""
"config_buildingtype","identical",8,8,8,0,0,0,"",""
"config_camera_info_queue","identical",3736,3736,3736,0,0,0,"",""
"config_caption_access_list","identical",8149,8149,8149,0,0,0,"",""
"config_cg_resources","identical",3,3,3,0,0,0,"",""
"config_challenge","identical",8,8,8,0,0,0,"",""
"config_challenge_reward","identical",10,10,10,0,0,0,"",""
"config_chapter","identical",237,237,237,0,0,0,"",""
"config_chapter_plot_type","identical",3,3,3,0,0,0,"",""
"config_chapter_tower","identical",18,18,18,0,0,0,"",""
"config_chapter_training","identical",7,7,7,0,0,0,"",""
"config_chapter_type","identical",75,75,75,0,0,0,"",""
"config_chapter_type_info","identical",5,5,5,0,0,0,"",""
"config_character","identical",132,132,132,0,0,0,"",""
"config_chat_emoji","identical",17,17,17,0,0,0,"",""
"config_chat_send_interval","identical",6,6,6,0,0,0,"",""
"config_chat_set","identical",12,12,12,0,0,0,"",""
"config_cheat_app","identical",12,12,12,0,0,0,"",""
"config_color","identical",13,13,13,0,0,0,"",""
"config_combination_ship","identical",580,580,580,0,0,0,"",""
"config_condition","identical",2,2,2,0,0,0,"",""
"config_copy","identical",1482,1482,1482,0,0,0,"",""
"config_copy_demo","identical",86,86,86,0,0,0,"",""
"config_copy_display","identical",2194,2194,2194,0,0,0,"",""
"config_copy_enemy","identical",12,12,12,0,0,0,"",""
"config_copy_grade_type","identical",9,9,9,0,0,0,"",""
"config_copy_rank_drop","identical",1,1,1,0,0,0,"",""
"config_copy_type_map","identical",1,1,1,0,0,0,"",""
"config_copytypemap","identical",1,1,1,0,0,0,"",""
"config_countenance_info_queue","identical",134,134,134,0,0,0,"",""
"config_counting","identical",87,87,87,0,0,0,"",""
"config_country_info","identical",12,12,12,0,0,0,"",""
"config_currency","identical",33,33,33,0,0,0,"",""
"config_cutin_blacklist","identical",3,3,3,0,0,0,"",""
"config_cutin_ship_type_factor","identical",22,22,22,0,0,0,"",""
"config_daily_chapter","identical",8,8,8,0,0,0,"",""
"config_daily_finish","identical",10,10,10,0,0,0,"",""
"config_daily_group","identical",4,4,4,0,0,0,"",""
"config_daily_login","identical",405,405,405,0,0,0,"",""
"config_daily_register","identical",12,12,12,0,0,0,"",""
"config_data_version","identical",47,47,47,0,0,0,"",""
"config_days_activity","identical",7,7,7,0,0,0,"",""
"config_days_activity_limited","identical",6,6,6,0,0,0,"",""
"config_draw","identical",10,10,10,0,0,0,"",""
"config_drop_info","identical",2046,2046,2046,0,0,0,"",""
"config_drop_item","identical",2692,2692,2692,0,0,0,"",""
"config_eca_action","identical",21,21,21,0,0,0,"",""
"config_eca_condition","identical",12,12,12,0,0,0,"",""
"config_eca_cvalue","identical",1,1,1,0,0,0,"",""
"config_eca_index","identical",12,12,12,0,0,0,"",""
"config_effect","identical",517,517,517,0,0,0,"",""
"config_effect_bind","identical",1187,1187,1187,0,0,0,"",""
"config_effect_bind_path","identical",396,396,396,0,0,0,"",""
"config_emoji","identical",122,122,122,0,0,0,"",""
"config_emoji_pack","identical",2,2,2,0,0,0,"",""
"config_equip","identical",1003,1003,1003,0,0,0,"",""
"config_equip_activity_extrapoint","identical",10,10,10,0,0,0,"",""
"config_equip_ehhance_item","identical",3,3,3,0,0,0,"",""
"config_equip_enhance_item","identical",4,4,4,0,0,0,"",""
"config_equip_enhance_level","identical",30,30,30,0,0,0,"",""
"config_equip_enhance_level_exp","identical",30,30,30,0,0,0,"",""
"config_equip_enhance_level_ur","identical",35,35,35,0,0,0,"",""
"config_equip_enhance_renovate","identical",6,6,6,0,0,0,"",""
"config_equip_fashion_showtype","identical",5,5,5,0,0,0,"",""
"config_equip_fashion_type","identical",39,39,39,0,0,0,"",""
"config_equip_levelbreak_item","identical",2,2,2,0,0,0,"",""
"config_equip_skill_type","identical",22,22,22,0,0,0,"",""
"config_equip_type","identical",69,69,69,0,0,0,"",""
"config_equip_wear_type","identical",31,31,31,0,0,0,"",""
"config_escape_type","identical",3,3,3,0,0,0,"",""
"config_evaluate","identical",234,234,234,0,0,0,"",""
"config_example","identical",3,3,3,0,0,0,"",""
"config_expand_item","identical",2,2,2,0,0,0,"",""
"config_expedition_set","identical",5,5,5,0,0,0,"",""
"config_expedition_task","identical",411,411,411,0,0,0,"",""
"config_export_damage_type","identical",5,5,5,0,0,0,"",""
"config_export_func","identical",18,18,18,0,0,0,"",""
"config_extra_skill","identical",20,20,20,0,0,0,"",""
"config_extract_mail","identical",19,19,19,0,0,0,"",""
"config_extract_ship","identical",206,206,206,0,0,0,"",""
"config_fashion","identical",1392,1392,1392,0,0,0,"",""
"config_flag_res","identical",7,7,7,0,0,0,"",""
"config_flagsystem","identical",165,165,165,0,0,0,"",""
"config_fleep_speed","identical",4,4,4,0,0,0,"",""
"config_fleet","identical",3669,3669,3669,0,0,0,"",""
"config_fleet_auto","identical",5,5,5,0,0,0,"",""
"config_fleet_copy_type","identical",3,3,3,0,0,0,"",""
"config_fleet_patrol_pos","identical",1311,1311,1311,0,0,0,"",""
"config_fleet_patrol_route","identical",3244,3244,3244,0,0,0,"",""
"config_fleet_relation","identical",4,4,4,0,0,0,"",""
"config_fleet_speed","identical",3,3,3,0,0,0,"",""
"config_food_compose","identical",60,60,60,0,0,0,"",""
"config_form_change","identical",20,20,20,0,0,0,"",""
"config_form_change_point","identical",255,255,255,0,0,0,"",""
"config_formation","identical",8,8,8,0,0,0,"",""
"config_formation_pos","identical",12,12,12,0,0,0,"",""
"config_formation_pos_ui","identical",98,98,98,0,0,0,"",""
"config_fragment","identical",8,8,8,0,0,0,"",""
"config_function_info","identical",106,106,106,0,0,0,"",""
"config_game_limits","identical",570,570,570,0,0,0,"",""
"config_gift","identical",5,5,5,0,0,0,"",""
"config_goods_battle","identical",6,6,6,0,0,0,"",""
"config_guide_compensation","identical",6,6,6,0,0,0,"",""
"config_guildactivityrankreward","identical",6,6,6,0,0,0,"",""
"config_guildactivityrate","identical",15,15,15,0,0,0,"",""
"config_guildactivitytask","identical",71,71,71,0,0,0,"",""
"config_guildboxparam","identical",4,4,4,0,0,0,"",""
"config_guildboxscore","identical",1,1,1,0,0,0,"",""
"config_guildfunction","identical",1,1,1,0,0,0,"",""
"config_guildlevel","identical",10,10,10,0,0,0,"",""
"config_guildoffer_guildrankreward","identical",6,6,6,0,0,0,"",""
"config_guildoffer_info","identical",1,1,1,0,0,0,"",""
"config_guildoffer_perscorereward","identical",35,35,35,0,0,0,"",""
"config_guildoffer_rankreward","identical",1,1,1,0,0,0,"",""
"config_guildoffer_scorereward","identical",25,25,25,0,0,0,"",""
"config_guildparam","identical",1,1,1,0,0,0,"",""
"config_guildpost","identical",3,3,3,0,0,0,"",""
"config_guildwar_base_info","identical",4,4,4,0,0,0,"",""
"config_guildwar_rank","identical",9,9,9,0,0,0,"",""
"config_guildwar_reward","identical",16,16,16,0,0,0,"",""
"config_gun_range","identical",4,4,4,0,0,0,"",""
"config_gun_range_type","identical",4,4,4,0,0,0,"",""
"config_handbook_behaviour_index","identical",70,70,70,0,0,0,"",""
"config_help_text","identical",1,1,1,0,0,0,"",""
"config_home_activity_enter","identical",48,48,48,0,0,0,"",""
"config_home_page","identical",3,3,3,0,0,0,"",""
"config_home_scene_envir","identical",6,6,6,0,0,0,"",""
"config_interaction_figurte","identical",189,189,189,0,0,0,"",""
"config_interaction_item","identical",142,142,142,0,0,0,"",""
"config_interaction_item_bag","identical",68,68,68,0,0,0,"",""
"config_interaction_item_bag_group","identical",2,2,2,0,0,0,"",""
"config_interaction_paper_cut_fomula","identical",126,126,126,0,0,0,"",""
"config_island","identical",1087,1087,1087,0,0,0,"",""
"config_island_group","identical",537,537,537,0,0,0,"",""
"config_item_exchange","identical",117,117,117,0,0,0,"",""
"config_item_info","identical",862,862,862,0,0,0,"",""
"config_item_recycling","identical",353,353,353,0,0,0,"",""
"config_item_selected","identical",423,423,423,0,0,0,"",""
"config_item_valentine_gift","identical",121,121,121,0,0,0,"",""
"config_key_list","identical",228,228,228,0,0,0,"",""
"config_language","identical",5525,5525,5525,0,0,0,"",""
"config_left_camera_controller","identical",29,29,29,0,0,0,"",""
"config_level_reward","identical",19,19,19,0,0,0,"",""
"config_loading","identical",22,22,22,0,0,0,"",""
"config_loading_tips","identical",30,30,30,0,0,0,"",""
"config_magazine_info","identical",10,10,10,0,0,0,"",""
"config_magazine_page","identical",126,126,126,0,0,0,"",""
"config_magazine_tag","identical",25,25,25,0,0,0,"",""
"config_main_line_reward_arg","identical",9,9,9,0,0,0,"",""
"config_mask_word_test","identical",4,4,4,0,0,0,"",""
"config_medal","identical",131,131,131,0,0,0,"",""
"config_minigame_ai","identical",31,31,31,0,0,0,"",""
"config_minigame_ai_type","identical",3,3,3,0,0,0,"",""
"config_minigame_buff","identical",18,18,18,0,0,0,"",""
"config_minigame_buff_type","identical",12,12,12,0,0,0,"",""
"config_minigame_copy","identical",123,123,123,0,0,0,"",""
"config_minigame_infinite_copy","identical",4,4,4,0,0,0,"",""
"config_minigame_item","identical",14,14,14,0,0,0,"",""
"config_minigame_item_template","identical",10,10,10,0,0,0,"",""
"config_minigame_npc_info","identical",45,45,45,0,0,0,"",""
"config_minigame_skill","identical",3,3,3,0,0,0,"",""
"config_minigame_special_area","identical",98,98,98,0,0,0,"",""
"config_minigame_victory_condition","identical",33,33,33,0,0,0,"",""
"config_mission","identical",14,14,14,0,0,0,"",""
"config_mission_display","identical",9,9,9,0,0,0,"",""
"config_model_camera_config","identical",249,249,249,0,0,0,"",""
"config_music","identical",13,13,13,0,0,0,"",""
"config_navmesh","identical",168,168,168,0,0,0,"",""
"config_novice_ship_info","identical",7,7,7,0,0,0,"",""
"config_outpost_info","identical",10,10,10,0,0,0,"",""
"config_outpost_level","identical",70,70,70,0,0,0,"",""
"config_page_hide_type","identical",2,2,2,0,0,0,"",""
"config_page_switch_animation","identical",29,29,29,0,0,0,"",""
"config_page_type","identical",2,2,2,0,0,0,"",""
"config_parameter","identical",429,429,429,0,0,0,"",""
"config_parameter_mail","identical",90,90,90,0,0,0,"",""
"config_parameter_mail_test","identical",6,6,6,0,0,0,"",""
"config_period","identical",969,969,969,0,0,0,"",""
"config_pet_main","identical",4,4,4,0,0,0,"",""
"config_pet_pskill_display","identical",5,5,5,0,0,0,"",""
"config_player_head_frame","identical",128,128,128,0,0,0,"",""
"config_player_levelup","identical",100,100,100,0,0,0,"",""
"config_plot_episode","identical",2341,2341,2341,0,0,0,"",""
"config_plot_episode_audio_character","identical",8303,8303,8303,0,0,0,"",""
"config_plot_episode_audio_event","identical",11542,11542,11542,0,0,0,"",""
"config_plot_episode_audio_main","identical",10939,10939,10939,0,0,0,"",""
"config_plot_episode_audio_wedding","identical",705,705,705,0,0,0,"",""
"config_plot_episode_branch","identical",2,2,2,0,0,0,"",""
"config_plot_episode_character","identical",8303,8303,8303,0,0,0,"",""
"config_plot_episode_effect","identical",42,42,42,0,0,0,"",""
"config_plot_episode_event","identical",11542,11542,11542,0,0,0,"",""
"config_plot_episode_expression","identical",1939,1939,1939,0,0,0,"",""
"config_plot_episode_main","identical",10940,10940,10940,0,0,0,"",""
"config_plot_episode_ship","identical",466,466,466,0,0,0,"",""
"config_plot_episode_trigger","identical",2328,2328,2328,0,0,0,"",""
"config_plot_episode_tween","identical",255,255,255,0,0,0,"",""
"config_plot_episode_wedding","identical",705,705,705,0,0,0,"",""
"config_privilegedesc","identical",18,18,18,0,0,0,"",""
"config_profile","identical",347,347,347,0,0,0,"",""
"config_prohibit_speed","identical",1,1,1,0,0,0,"",""
"config_prop","identical",484,484,484,0,0,0,"",""
"config_pskill_dict_buff","identical",1974,1974,1974,0,0,0,"",""
"config_pskill_dict_buff_cb_con","identical",47,47,47,0,0,0,"",""
"config_pskill_dict_buff_cb_condition","identical",44,44,44,0,0,0,"",""
"config_pskill_dict_buff_factor","identical",1930,1930,1930,0,0,0,"",""
"config_pskill_dict_buff_factor_args","identical",34,34,34,0,0,0,"",""
"config_pskill_dict_buff_trans","identical",6,6,6,0,0,0,"",""
"config_pskill_dict_c_param","identical",68,68,68,0,0,0,"",""
"config_pskill_dict_change","identical",10,10,10,0,0,0,"",""
"config_pskill_dict_condition","identical",1433,1433,1433,0,0,0,"",""
"config_pskill_dict_condition2","identical",4,4,4,0,0,0,"",""
"config_pskill_dict_display","identical",1251,1251,1251,0,0,0,"",""
"config_pskill_dict_factor","identical",1271,1271,1271,0,0,0,"",""
"config_pskill_dict_flag","identical",115,115,115,0,0,0,"",""
"config_pskill_dict_group","identical",3018,3018,3018,0,0,0,"",""
"config_pskill_dict_main","identical",4911,4911,4911,0,0,0,"",""
"config_pskill_dict_select_item","identical",69,69,69,0,0,0,"",""
"config_pskill_dict_select_target","identical",146,146,146,0,0,0,"",""
"config_pskill_dict_select_target_item","identical",28,28,28,0,0,0,"",""
"config_pskill_sp_talent","identical",3,3,3,0,0,0,"",""
"config_pushnotice","identical",10,10,10,0,0,0,"",""
"config_qte_step","identical",4,4,4,0,0,0,"",""
"config_quality_param","identical",5,5,5,0,0,0,"",""
"config_random_effect_target_type","identical",3,3,3,0,0,0,"",""
"config_random_factor","identical",400,400,400,0,0,0,"",""
"config_random_factor_group","identical",379,379,379,0,0,0,"",""
"config_random_factor_set","identical",383,383,383,0,0,0,"",""
"config_random_factor_target_type","identical",3,3,3,0,0,0,"",""
"config_random_factor_type","identical",9,9,9,0,0,0,"",""
"config_random_first_name_en","identical",237,237,237,0,0,0,"",""
"config_random_first_name_ja","identical",97,97,97,0,0,0,"",""
"config_random_last_name_en","identical",196,196,196,0,0,0,"",""
"config_random_last_name_ja","identical",95,95,95,0,0,0,"",""
"config_range","identical",0,0,0,0,0,0,"",""
"config_rank","identical",11,11,11,0,0,0,"",""
"config_recharge","identical",890,890,890,0,0,0,"",""
"config_recharge_icon","identical",3,3,3,0,0,0,"",""
"config_recharge_selective","identical",4,4,4,0,0,0,"",""
"config_rechargecondition","identical",32,32,32,0,0,0,"",""
"config_rechargetag","identical",2,2,2,0,0,0,"",""
"config_recipe","identical",24,24,24,0,0,0,"",""
"config_recipe_compose","identical",16,16,16,0,0,0,"",""
"config_refresh","identical",20,20,20,0,0,0,"",""
"config_report","identical",5,5,5,0,0,0,"",""
"config_return_stage","identical",7,7,7,0,0,0,"",""
"config_rewards","identical",9850,9850,9850,0,0,0,"",""
"config_room","identical",2,2,2,0,0,0,"",""
"config_ryza_alchemy_formula","identical",58,58,58,0,0,0,"",""
"config_ryza_alchemy_item","identical",564,564,564,0,0,0,"",""
"config_ryza_alchemy_type","identical",4,4,4,0,0,0,"",""
"config_safearea","identical",7,7,7,0,0,0,"",""
"config_safearea_condition","identical",69,69,69,0,0,0,"",""
"config_safearea_effect","identical",183,183,183,0,0,0,"",""
"config_scene","identical",252,252,252,0,0,0,"",""
"config_scene_position","identical",18685,18685,18685,0,0,0,"",""
"config_scene_weather","identical",1,1,1,0,0,0,"",""
"config_search3d_item","identical",29,29,29,0,0,0,"",""
"config_select_point_type","identical",2,2,2,0,0,0,"",""
"config_select_target_type","identical",7,7,7,0,0,0,"",""
"config_ship","identical",13,13,13,0,0,0,"",""
"config_ship_advance","identical",2,2,2,0,0,0,"",""
"config_ship_behaviour_and_camera_info","identical",552,552,552,0,0,0,"",""
"config_ship_break","identical",5356,5356,5356,0,0,0,"",""
"config_ship_break_effect","identical",96,96,96,0,0,0,"",""
"config_ship_class_index","identical",78,78,78,0,0,0,"",""
"config_ship_combat_effectiveness","identical",11,11,11,0,0,0,"",""
"config_ship_consumption","identical",1962,1962,1962,0,0,0,"",""
"config_ship_damage_coefficient","identical",42,42,42,0,0,0,"",""
"config_ship_dressup","identical",761,761,761,0,0,0,"",""
"config_ship_enemy","identical",11026,11026,11026,0,0,0,"",""
"config_ship_equip","identical",4882,4882,4882,0,0,0,"",""
"config_ship_exp_item","identical",6,6,6,0,0,0,"",""
"config_ship_fleet","identical",382,382,382,0,0,0,"",""
"config_ship_forbidden","identical",2,2,2,0,0,0,"",""
"config_ship_formation_coefficient","identical",80,80,80,0,0,0,"",""
"config_ship_gained_way","identical",97,97,97,0,0,0,"",""
"config_ship_handbook","identical",221,221,221,0,0,0,"",""
"config_ship_hp_prop_change","identical",180,180,180,0,0,0,"",""
"config_ship_hp_state","identical",5,5,5,0,0,0,"",""
"config_ship_info","identical",1490,1490,1490,0,0,0,"",""
"config_ship_levelup","identical",100,100,100,0,0,0,"",""
"config_ship_levelup_mub","identical",100,100,100,0,0,0,"",""
"config_ship_main","content-different",4888,4888,0,4888,0,0,"",""
"config_ship_max_power","identical",5326,5326,5326,0,0,0,"",""
"config_ship_model","identical",476,476,476,0,0,0,"",""
"config_ship_model_animation","identical",716,716,716,0,0,0,"",""
"config_ship_model_facial_animation","identical",815,815,815,0,0,0,"",""
"config_ship_model_look_camera","identical",14,14,14,0,0,0,"",""
"config_ship_need_power_exp","identical",4894,4894,4894,0,0,0,"",""
"config_ship_perform_limit","identical",11,11,11,0,0,0,"",""
"config_ship_perform_mark","identical",6,6,6,0,0,0,"",""
"config_ship_position","identical",798,798,798,0,0,0,"",""
"config_ship_provide_power_exp","identical",5356,5356,5356,0,0,0,"",""
"config_ship_remould_effect","identical",887,887,887,0,0,0,"",""
"config_ship_remould_show","identical",4,4,4,0,0,0,"",""
"config_ship_remould_template","identical",69,69,69,0,0,0,"",""
"config_ship_show","identical",1433,1433,1433,0,0,0,"",""
"config_ship_talent_activate_condition","identical",7,7,7,0,0,0,"",""
"config_ship_talent_desc","identical",10,10,10,0,0,0,"",""
"config_ship_talent_upgrade_exp","identical",20,20,20,0,0,0,"",""
"config_ship_talent_upgrade_item","identical",0,0,0,0,0,0,"",""
"config_ship_transform_effect","identical",5,5,5,0,0,0,"",""
"config_ship_type","identical",23,23,23,0,0,0,"",""
"config_shiplist_option","identical",8,8,8,0,0,0,"",""
"config_shiplist_sequence","identical",98,98,98,0,0,0,"",""
"config_shiptalenttype","identical",5,5,5,0,0,0,"",""
"config_shop","identical",202,202,202,0,0,0,"",""
"config_shop_goods","identical",3146,3146,3146,0,0,0,"",""
"config_skill","identical",8040,8040,8040,0,0,0,"",""
"config_skill_anim_detail","identical",1820,1820,1820,0,0,0,"",""
"config_skill_anim_detail_action_type","identical",25,25,25,0,0,0,"",""
"config_skill_anim_detail_base_group","identical",88,88,88,0,0,0,"",""
"config_skill_anim_detail_camera_target","identical",18,18,18,0,0,0,"",""
"config_skill_anim_detail_group","identical",740,740,740,0,0,0,"",""
"config_skill_anim_detail_group_count","identical",39,39,39,0,0,0,"",""
"config_skill_anim_detail_ios","identical",1820,1820,1820,0,0,0,"",""
"config_skill_anim_detail_type","identical",21,21,21,0,0,0,"",""
"config_skill_anim_project","identical",673,673,673,0,0,0,"",""
"config_skill_anim_type","identical",17,17,17,0,0,0,"",""
"config_skill_be_hit","identical",1760,1760,1760,0,0,0,"",""
"config_skill_be_hit_boss_sink","identical",3,3,3,0,0,0,"",""
"config_skill_be_hit_order","identical",5,5,5,0,0,0,"",""
"config_skill_common_condition","identical",285,285,285,0,0,0,"",""
"config_skill_fashion","identical",71,71,71,0,0,0,"",""
"config_skill_release","identical",1346,1346,1346,0,0,0,"",""
"config_skill_release_project","identical",93,93,93,0,0,0,"",""
"config_skill_torpedo","identical",19,19,19,0,0,0,"",""
"config_skill_trap_effect","identical",195,195,195,0,0,0,"",""
"config_skill_trap_group","identical",386,386,386,0,0,0,"",""
"config_skill_trap_item","identical",239,239,239,0,0,0,"",""
"config_skill_trap_ratio","identical",37,37,37,0,0,0,"",""
"config_skill_trigger","identical",32,32,32,0,0,0,"",""
"config_skill_trigger_group","identical",32,32,32,0,0,0,"",""
"config_skill_trigger_range","identical",0,0,0,0,0,0,"",""
"config_skill_type","identical",7,7,7,0,0,0,"",""
"config_skill_type_anim","identical",18,18,18,0,0,0,"",""
"config_sp_settings_dict","identical",3,3,3,0,0,0,"",""
"config_sp_settings_fleet_dict","identical",3,3,3,0,0,0,"",""
"config_special_buff","identical",3,3,3,0,0,0,"",""
"config_specialdraw","identical",431,431,431,0,0,0,"",""
"config_sportsmeet_achieve","identical",18,18,18,0,0,0,"",""
"config_sportsmeet_award","identical",22,22,22,0,0,0,"",""
"config_sportsmeet_rank","identical",33,33,33,0,0,0,"",""
"config_sportsmeet_score","identical",12,12,12,0,0,0,"",""
"config_stage","identical",302,302,302,0,0,0,"",""
"config_starbox","identical",9,9,9,0,0,0,"",""
"config_strategy","identical",17,17,17,0,0,0,"",""
"config_supply_get","identical",2,2,2,0,0,0,"",""
"config_support_effect","identical",12,12,12,0,0,0,"",""
"config_support_fleet_item","identical",29,29,29,0,0,0,"",""
"config_support_fleet_recommend","identical",1,1,1,0,0,0,"",""
"config_support_time","identical",2,2,2,0,0,0,"",""
"config_support_type","identical",2,2,2,0,0,0,"",""
"config_system_info_text","identical",14,14,14,0,0,0,"",""
"config_table_index","identical",26,26,26,0,0,0,"",""
"config_talent","identical",1077,1077,1077,0,0,0,"",""
"config_talentcondition","identical",214,214,214,0,0,0,"",""
"config_talenteffect","identical",130,130,130,0,0,0,"",""
"config_talentmain","identical",5,5,5,0,0,0,"",""
"config_task_activity","identical",2414,2414,2414,0,0,0,"",""
"config_task_daily","identical",24,24,24,0,0,0,"",""
"config_task_grow","identical",242,242,242,0,0,0,"",""
"config_task_guild","identical",102,102,102,0,0,0,"",""
"config_task_guildoffer","identical",34,34,34,0,0,0,"",""
"config_task_magazine","identical",343,343,343,0,0,0,"",""
"config_task_main","identical",174,174,174,0,0,0,"",""
