client,name,stem,direction,pair,actualFields,fieldTypes,possibleParameters,evidence,confidence,source
"jp-1.4.0","TAckPack","TAckPack","unknown","","_ackId;_opeList;extensionObject","_ackId:int;_opeList:System.Collections.Generic.List<pb.TNetOperation>;extensionObject:ProtoBuf.IExtension","alphaPacking;curPackNum;d2lPacketPool;g_MinPacketSize;in_pszFilePackageName;in_uPackageID;isInPackage;k_MaxFreePacketCount;k_PacketHeaderReserveSize;m_AlphaPacking;m_CurrentPacket;m_LastAddedEventPackage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgApplyGuild","ApplyGuild","C2S/request","","_GuildId;extensionObject","_GuildId:ulong;extensionObject:ProtoBuf.IExtension","add_reapplyDrivenProperties;apply;applyAvatarMask;applyBaseVertex;applyDefaultBehaviour;applyExpensiveChanges;applyMaskPenaltyRule1;applyMaskPenaltyRule1Internal;applyMaskPenaltyRule2;applyMaskPenaltyRule3;applyMaskPenaltyRule4;applyNetObjectProxy","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgAppoint","Appoint","C2S/request","","_Uid;_Post;extensionObject","_Uid:ulong;_Post:int;extensionObject:ProtoBuf.IExtension","appoint;appointCache","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgArtifactTrain","ArtifactTrain","C2S/request","","_ArtifactId;_TrainTimes;_TrainCostWay;extensionObject","_ArtifactId:int;_TrainTimes:int;_TrainCostWay:int;extensionObject:ProtoBuf.IExtension","arr_training_strategy;cachedNNConstraint;constrainArea;constrainDistance;constrainInsideGraph;constrainTags;constrainWalkability;constrainedNode;constraint;constraintCount;constraints;encodedBasicConstraints","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgAtkStage","AtkStage","C2S/request","","_ChapterId;_Index;extensionObject","_ChapterId:int;_Index:int;extensionObject:ProtoBuf.IExtension","actionStage;action_stage;addStage;battleStageAttrCache;eStageLaunch;eStageLogin;eStageMain;eStageMultiPveBattle;eStagePvpBattle;eStagePvpBattleTest;eStageReplayBattle;eStageResumeBattle","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgCancelApply","CancelApply","C2S/request","","_GuildId;extensionObject","_GuildId:ulong;extensionObject:ProtoBuf.IExtension","add_reapplyDrivenProperties;apply;applyAvatarMask;applyBaseVertex;applyDefaultBehaviour;applyExpensiveChanges;applyMaskPenaltyRule1;applyMaskPenaltyRule1Internal;applyMaskPenaltyRule2;applyMaskPenaltyRule3;applyMaskPenaltyRule4;applyNetObjectProxy","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgCreateGuild","CreateGuild","C2S/request","","_Name;_Emblem;_Frame;extensionObject","_Name:string;_Emblem:int;_Frame:int;extensionObject:ProtoBuf.IExtension","add_OnPlayableCreate;allowAutoCreate;arr_create_pos_range;arr_create_range_item;autoCreate;autoCreatePlayer;check_created;check_not_created;create;createBattleFrame;createBuffs;createClientHandshakeMessage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgCreateUser","CreateUser","C2S/request","","_Uname;_Class;extensionObject","_Uname:string;_Class:int;extensionObject:ProtoBuf.IExtension","add_OnPlayableCreate;allowAutoCreate;allowUserInput;arr_create_pos_range;arr_create_range_item;autoCreate;autoCreatePlayer;check_created;check_not_created;create;createBattleFrame;createBuffs","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGetChatInfo","GetChatInfo","C2S/request","","_Channel;extensionObject","_Channel:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGetChatInfoN","GetChatInfoN","C2S/request","","_Channel;_StartRecvTime;extensionObject","_Channel:int;_StartRecvTime:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGetGuildList","GetGuildList","C2S/request","TRetGetGuildList","_FromRank;extensionObject","_FromRank:int;extensionObject:ProtoBuf.IExtension","acklist;actionList;add_LogHistoryListReset;addressList;allImageList;allList;allowLists;arr_before_copy_id_list;arr_next_copy_id_list;arr_param_list;arr_script_list;arrowPosList","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGetSacrificeReward","GetSacrificeReward","C2S/request","","_Reward;extensionObject","_Reward:int;extensionObject:ProtoBuf.IExtension","arr_finishmission_reward;arr_first_reward;arr_three_star_reward;commonReward;copy_must_drop_reward;finishmission_reward;first_reward;plot_episode_reward;repeat_rewards;reward;three_star_reward","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGuildSacrifice","GuildSacrifice","C2S/request","","_Mode;extensionObject","_Mode:int;extensionObject:ProtoBuf.IExtension","","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGuildShopGetInfo","GuildShopGetInfo","C2S/request","","_ShopId;extensionObject","_ShopId:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgGuildSkill","GuildSkill","C2S/request","","_Type;_SkillId;extensionObject","_Type:int;_SkillId:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;aSkillType;actSkillAPI;actSkillData;actSkillInfo;actionSkillType;addPskills;additionalSkillCD;additionalSkillCD2;additionalSkillID;additionalSkillId;additionalSkillWeight","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgLogin","Login","C2S/request","TRetLogin","_Pid;_Timestamp;_OpenDateTime;_Hash;_SampleInfo;extensionObject","_Pid:string;_Timestamp:int;_OpenDateTime:string;_Hash:string;_SampleInfo:pb.TSampleInfo;extensionObject:ProtoBuf.IExtension","eStageLogin;getLoginedServerInfo;isLogined;kGetLoginedServerInfo;kLogin;kScanCookieLogin;logInfo;logInfoKeyValue;login;loginCallBack;loginEvent;onLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgModiGuildInfo","ModiGuildInfo","C2S/request","","_Name;_Emblem;_Enounce;_Notice;_Limit;_Frame;_ChatRoom;extensionObject","_Name:string;_Emblem:int;_Enounce:string;_Notice:string;_Limit:pb.TGuildLimit;_Frame:int;_ChatRoom:string;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;activeModifiers;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgModifyChannel","ModifyChannel","C2S/request","","_Channel;extensionObject","_Channel:int;extensionObject:ProtoBuf.IExtension","additionalShaderChannels;audio360ChannelMode;audioChannelMode;bakedLightChannels;channel;channelConfig;channelCount;channelData;channelDataArray;channelId;channelIndex;channelInstances","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgModifyChannelOld","ModifyChannelOld","C2S/request","","_State;extensionObject","_State:System.Collections.Generic.List<pb.TChannelState>;extensionObject:ProtoBuf.IExtension","additionalShaderChannels;audio360ChannelMode;audioChannelMode;bakedLightChannels;channel;channelConfig;channelCount;channelData;channelDataArray;channelId;channelIndex;channelInstances","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgPickCopyReward","PickCopyReward","C2S/request","","_RewardType;_Cid;_Index;extensionObject","_RewardType:int;_Cid:int;_Index:int;extensionObject:ProtoBuf.IExtension","arr_before_copy_id_list;arr_branch_copy;arr_copy_activity_value;arr_copy_attacheds;arr_copy_display_id;arr_copy_enemys;arr_copy_guarantee;arr_copy_progress;arr_finishmission_reward;arr_first_reward;arr_next_copy_id_list;arr_three_star_reward","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgPush","Push","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","ack_push;custom_push_funcs;iPushOpe;lua_pushboolean;lua_pushcclosure;lua_pushint64;lua_pushlightuserdata;lua_pushnil;lua_pushnumber;lua_pushstdcallcfunction;lua_pushstring;lua_pushthread","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgRemove","Remove","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","add_CommandHandlerRemoved;add_LogHistoryItemRemoved;add_PlaneRemoved;add_planeRemoved;add_removed;fingersRemoved;fixupToRemove;listenersToRemove;lua_remove;m_RemoveList;m_RemoveListCount;m_RemoveStartOffset","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgSearchGuild","SearchGuild","C2S/request","TRetSearchGuild","_GuildId;_Name;_Type;extensionObject","_GuildId:ulong;_Name:string;_Type:int;extensionObject:ProtoBuf.IExtension","add_OnPathPostSearch;add_OnPathPreSearch;aerialSearch;aerialSearchCD;aerialSearchCDMax;aerialSearchDuration;aerialSearchMaxCD;aerialSearchNum;aerialSearchPlaneSpeed;aerialSearchRange;aerialSearchRangePosTrans;aerialSearchVoyage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgSendMessage","SendMessage","C2S/request","","_Channel;_Message;extensionObject","_Channel:int;_Message:string;extensionObject:ProtoBuf.IExtension","add_OnSend;add_logMessageReceived;add_logMessageReceivedThreaded;autoSend;auxSendValues;bannerMessage;bufferToSend;bytesToSend;call_message;cloneDestroyedMessage;createClientHandshakeMessage;createServerHandshakeMessage","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgSendOneReward","SendOneReward","C2S/request","","_UidList;_RObjList;extensionObject","_UidList:System.Collections.Generic.List<ulong>;_RObjList:System.Collections.Generic.List<pb.TObj>;extensionObject:ProtoBuf.IExtension","add_OnSend;arr_finishmission_reward;arr_first_reward;arr_three_star_reward;autoSend;auxSendValues;bufferToSend;bytesToSend;commonReward;copy_must_drop_reward;disEnd;fastresend","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgSleep","Sleep","C2S/request","","_Ms;extensionObject","_Ms:uint;extensionObject:ProtoBuf.IExtension","isSleep;sleepAngularVelocity;sleepThreshold;sleepTimeout;sleepVelocity","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgTransfer","Transfer","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","bytesTransferred;chunkedTransfer","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgUniteLogin","UniteLogin","C2S/request","","_Uname;extensionObject","_Uname:string;extensionObject:ProtoBuf.IExtension","eStageLogin;getLoginedServerInfo;isLogined;kGetLoginedServerInfo;kLogin;kScanCookieLogin;logInfo;logInfoKeyValue;login;loginCallBack;loginEvent;onLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgUseGiftCode","UseGiftCode","C2S/request","","_Code;extensionObject","_Code:string;extensionObject:ProtoBuf.IExtension","asnEncodedData;barcodeMatrix;base64EncodedKeyBlob;bitMatrixFromEncoder;blcodes;cachedHashCode;calculateBCHCode;chooseCode;code;codeAPI;codePage;code_len","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgUserId","UserId","C2S/request","","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","allowUserInput;enterUserCenter;fVolAuxUserDefAtMaxDist;getUserCenterName;getUserCenterNameF;getUserInformation;kGetUserInformation;kMouseRightId;lua_islightuserdata;lua_pushlightuserdata;lua_touserdata;m_UseRelativeTransform","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgUserLogin","UserLogin","C2S/request","TRetUserLogin","_Uid;extensionObject","_Uid:ulong;extensionObject:ProtoBuf.IExtension","allowUserInput;eStageLogin;enterUserCenter;fVolAuxUserDefAtMaxDist;getLoginedServerInfo;getUserCenterName;getUserCenterNameF;getUserInformation;isLogined;kGetLoginedServerInfo;kGetUserInformation;kLogin","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgUserRank","UserRank","C2S/request","TRetUserRank","_RankType;extensionObject","_RankType:int;extensionObject:ProtoBuf.IExtension","allowUserInput;enterUserCenter;fVolAuxUserDefAtMaxDist;getUserCenterName;getUserCenterNameF;getUserInformation;il2cpp_class_get_rank;kGetUserInformation;kMouseRightId;lua_islightuserdata;lua_pushlightuserdata;lua_touserdata","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TArgVerifyGuild","VerifyGuild","C2S/request","","_Uid;_Mode;extensionObject","_Uid:ulong;_Mode:int;extensionObject:ProtoBuf.IExtension","check_verify_gzip;load_and_verify;mVerifyClient;verifyPackage;verifySignature","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TNetOperation","TNetOperation","unknown","","_frame;_index;_opCode;_data;extensionObject","_frame:int;_index:int;_opCode:int;_data:byte[];extensionObject:ProtoBuf.IExtension","arr_operation_buff_dict_id;arr_operation_flag_dict_id;m_Operation;nCount_PskillEnumOverOperation;operation;operationBuffDictIds;operationFlagDictIds;operationHandler;operationMode;operation_buff_dict_id;operation_flag_dict_id;operation_type","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetActiveShopGoodsInfo","ActiveShopGoodsInfo","S2C/response","","_CanBuy;extensionObject","_CanBuy:bool;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;active;activeColor;activeColorSpace;activeEnvironments;activeEnvironmentsFromPortals;activeFieldSerializationData;activeFinger;activeInHierarchy;activeModifiers","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetArtifactData","ArtifactData","S2C/response","","_ArtifactId;_CrrntAttr;_AddAttr;_SkillsLevel;extensionObject","_ArtifactId:int;_CrrntAttr:System.Collections.Generic.List<int>;_AddAttr:System.Collections.Generic.List<int>;_SkillsLevel:System.Collections.Generic.List<int>;extensionObject:ProtoBuf.IExtension","actSkillData;activeFieldSerializationData;addData;add_DatagramReceived;aiData;air_attack_spe_data;allData;allDatas;allMovePointData;allShipSpeedData;animData;animDataSupplementaryUtil","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetArtifactInfo","ArtifactInfo","S2C/response","","_ArtifactData;extensionObject","_ArtifactData:System.Collections.Generic.List<pb.TRetArtifactData>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetChangeGuideState","ChangeGuideState","S2C/response","","_GuideId;_OprateType;_StepId;extensionObject","_GuideId:int;_OprateType:int;_StepId:int;extensionObject:ProtoBuf.IExtension","abort_state_handle;activeSceneChanged;add_OnFpsLevelChange;add_OnInputProviderChanged;add_OnStateChanged;add_TrackingStateChanged;add_activeSceneChanged;add_backgroundRendererChanged;add_boundaryChanged;add_systemStateChanged;afterChangeCDMax;airControlState","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetChangeGuideStepState","ChangeGuideStepState","S2C/response","","_GuideId;_StepId;extensionObject","_GuideId:int;_StepId:int;extensionObject:ProtoBuf.IExtension","abort_state_handle;activeSceneChanged;add_OnFpsLevelChange;add_OnInputProviderChanged;add_OnStateChanged;add_TrackingStateChanged;add_activeSceneChanged;add_backgroundRendererChanged;add_boundaryChanged;add_systemStateChanged;afterChangeCDMax;airControlState","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetGuildApplyInfo","GetGuildApplyInfo","S2C/response","","_ApplyList;extensionObject","_ApplyList:System.Collections.Generic.List<pb.TGuildApplyInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;add_reapplyDrivenProperties;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetGuildInfo","GetGuildInfo","S2C/response","","_Name;_Emblem;_Enounce;_Notice;_Level;_Exp;_Limit;_MemberNum;_LeaderName;_LeaderId;_Deputy;_Frame;_TipList;_Process;_SacrificeInfo;_SkillList;_ApplyNum;_CreateTime;_ChatRoom;extensionObject","_Name:string;_Emblem:int;_Enounce:string;_Notice:string;_Level:int;_Exp:int;_Limit:pb.TGuildLimit;_MemberNum:int;_LeaderName:string;_LeaderId:ulong;_Deputy:System.Collections.Generic.List<ulong>;_Frame:int;_TipList:System.Collections.Generic.List<pb.TGuildTip>;_Process:int;_SacrificeInfo:System.Collections.Generic.List<pb.TSacrificeInfo>;_SkillList:System.Collections.Generic.List<pb.TGuildSkillSub>;_ApplyNum:int;_CreateTime:int;_ChatRoom:string;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetGuildList","GetGuildList","S2C/response","TArgGetGuildList","_TotalNum;_GuildList;extensionObject","_TotalNum:int;_GuildList:System.Collections.Generic.List<pb.TBaseGuildInfo>;extensionObject:ProtoBuf.IExtension","acklist;actionList;add_LogHistoryListReset;addressList;allImageList;allList;allowLists;arr_before_copy_id_list;arr_next_copy_id_list;arr_param_list;arr_script_list;arrowPosList","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetGuildMessageInfo","GetGuildMessageInfo","S2C/response","","_MsgList;extensionObject","_MsgList:System.Collections.Generic.List<pb.TGuildMessageInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;add_logMessageReceived;add_logMessageReceivedThreaded;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetGuildTipInfo","GetGuildTipInfo","S2C/response","","_TipList;extensionObject","_TipList:System.Collections.Generic.List<pb.TGuildTipInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetMemberInfo","GetMemberInfo","S2C/response","","_sMember;extensionObject","_sMember:System.Collections.Generic.List<pb.TGuildMemberInfo>;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;appendLengthInfo;appendModeInfo;applyRendererInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetOtherUserInfo","GetOtherUserInfo","S2C/response","","_Uid;_Uname;_Head;_HeadFrame;_Sex;_Class;_Level;_VipLevel;_Power;_AchievePoint;_Htid;_GuildId;_GuildName;_VipExp;extensionObject","_Uid:ulong;_Uname:string;_Head:int;_HeadFrame:int;_Sex:int;_Class:int;_Level:int;_VipLevel:int;_Power:int;_AchievePoint:int;_Htid:int;_GuildId:ulong;_GuildName:string;_VipExp:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;allowUserInput;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetSvrTime","GetSvrTime","S2C/response","","_NowTime;_SvrStartTime;extensionObject","_NowTime:int;_SvrStartTime:int;extensionObject:ProtoBuf.IExtension","accumulatedTimeFog;accumulationTime;actorTimeLeft;agentTimeHorizon;allLongTimePatterns;allShortTimePatterns;all_date_time_patterns;alphaChangeTime;alphaOverTime;alphaTimer;animStartTime;animTimer","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
"jp-1.4.0","TRetGetUserInfo","GetUserInfo","S2C/response","","_Uid;_Uname;_LastLoginTime;_Head;_HeadFrame;_Sex;_Class;_VipLevel;_RecoverData;_Level;_Exp;_Diamond;_Gold;_Vigour;_Spirit;_HeroShopPoint;_AwakeShopPoint;_PetShopPoint;_Prestige;_Token;_Achievement;_Reputation;_RefreshTime;_GuildCoin;_HeroSoul;_GodSoul;_PetSoul;_SoulJade;_AchievePoint;_Power;_VipExp;_ChangeUNameTimes;_LoginDays;_CreateTime;_GuildCopyAtkNum;_ArenaPoint;extensionObject","_Uid:ulong;_Uname:string;_LastLoginTime:int;_Head:int;_HeadFrame:int;_Sex:int;_Class:int;_VipLevel:int;_RecoverData:System.Collections.Generic.List<pb.TUserRecover>;_Level:int;_Exp:int;_Diamond:int;_Gold:int;_Vigour:int;_Spirit:int;_HeroShopPoint:int;_AwakeShopPoint:int;_PetShopPoint:int;_Prestige:int;_Token:int;_Achievement:int;_Reputation:int;_RefreshTime:int;_GuildCoin:int;_HeroSoul:int;_GodSoul:int;_PetSoul:int;_SoulJade:int;_AchievePoint:int;_Power:int;_VipExp:int;_ChangeUNameTimes:int;_LoginDays:int;_CreateTime:int;_GuildCopyAtkNum:int;_ArenaPoint:int;extensionObject:ProtoBuf.IExtension","aSkillKillInfo;actSkillInfo;actionInfo;actorInfo;actor_infos;airAttackerEquipInfo;airDefenderEquipInfo;airEquipInfo;allInfo;allowUserInput;appendLengthInfo;appendModeInfo","inferred","0.85","IL2CPP v24 type definition and field ranges; wire numbers/types remain unresolved"
