table,status,jpRows,cnRows,identicalRows,changedRows,jpOnlyRows,cnOnlyRows,jpOnlyFields,cnOnlyFields
"config_flagsystem","records-different",160,131,122,5,33,4,"",""
"config_fleep_speed","identical",4,4,4,0,0,0,"",""
"config_fleet","schema-different",3589,3008,0,2879,710,129,"random_factor;recommend_ce",""
"config_fleet_auto","schema-different",5,5,0,5,0,0,"weight_dive",""
"config_fleet_copy_type","identical",3,3,3,0,0,0,"",""
"config_fleet_patrol_pos","identical",1311,1311,1311,0,0,0,"",""
"config_fleet_patrol_route","identical",3244,3244,3244,0,0,0,"",""
"config_fleet_relation","identical",4,4,4,0,0,0,"",""
"config_fleet_speed","content-different",3,3,1,2,0,0,"",""
"config_food_compose","jp-only",40,0,0,0,0,0,"hide;id;item;material;reward;type",""
"config_form_change","identical",20,20,20,0,0,0,"",""
"config_form_change_point","identical",255,255,255,0,0,0,"",""
"config_formation","identical",8,8,8,0,0,0,"",""
"config_formation_pos","identical",12,12,12,0,0,0,"",""
"config_formation_pos_ui","identical",98,98,98,0,0,0,"",""
"config_fragment","schema-different",7,283,0,3,4,280,"icon_small",""
"config_function_info","records-different",104,93,0,93,11,0,"",""
"config_game_limits","records-different",570,551,14,537,19,0,"",""
"config_gift","content-different",5,5,0,5,0,0,"",""
"config_goods_battle","identical",6,6,6,0,0,0,"",""
"config_guide_compensation","records-different",6,8,0,6,0,2,"",""
"config_guildactivityrankreward","jp-only",6,0,0,0,0,0,"id;ranklist;reward;score",""
"config_guildactivityrate","jp-only",15,0,0,0,0,0,"id;rate;requireitemnum",""
"config_guildactivitytask","jp-only",71,0,0,0,0,0,"belong;count_type;desc;finishnum;go_up_to;goal;id;order;reward;score",""
"config_guildboxparam","jp-only",4,0,0,0,0,0,"id;image;num",""
"config_guildboxscore","jp-only",1,0,0,0,0,0,"id;maxnum;reward;score",""
"config_guildfunction","identical",1,1,1,0,0,0,"",""
"config_guildlevel","identical",10,10,10,0,0,0,"",""
"config_guildoffer_guildrankreward","jp-only",6,0,0,0,0,0,"id;limitscore;rankid;reward",""
"config_guildoffer_info","jp-only",1,0,0,0,0,0,"apply_max_num;guildrewardmail;id;maxbuytime;noguild_name;personrewardmail;priceincrease;quality_task_num;rank_minscore;task_bg;ticketprice",""
"config_guildoffer_perscorereward","jp-only",35,0,0,0,0,0,"id;reward;score",""
"config_guildoffer_rankreward","jp-only",1,0,0,0,0,0,"id;rankid;reward",""
"config_guildoffer_scorereward","jp-only",25,0,0,0,0,0,"id;personscore;reward;score",""
"config_guildparam","identical",1,1,1,0,0,0,"",""
"config_guildpost","content-different",3,3,0,3,0,0,"",""
"config_guildwar_base_info","jp-only",4,0,0,0,0,0,"camera_position;camera_rotate_position;copydisplay_id;desc;id;lap;lap_name;pic;stage;stage_level;stage_reward",""
"config_guildwar_rank","jp-only",9,0,0,0,0,0,"id;range;range_desc;rank_name;rank_pic;rank_reward",""
"config_guildwar_reward","jp-only",16,0,0,0,0,0,"base_id;battle_reward;damage_rate;damage_rate_reward;guild_reward;id;kill_reward;stage",""
"config_gun_range","identical",4,4,4,0,0,0,"",""
"config_gun_range_type","content-different",4,4,2,2,0,0,"",""
"config_handbook_behaviour_index","records-different",70,68,2,66,2,0,"",""
"config_help_text","identical",1,1,1,0,0,0,"",""
"config_home_activity_enter","records-different",36,16,0,12,24,4,"",""
"config_home_page","content-different",3,3,1,2,0,0,"",""
"config_home_scene_envir","schema-different",6,6,0,6,0,0,"big_activity_envir_bgm_ryza",""
"config_interaction_figurte","records-different",185,154,1,151,33,2,"",""
"config_interaction_item","schema-different",129,98,0,86,43,12,"activity_id;drop_id;item_show_next_item;item_show_next_item_type;item_show_previous_item",""
"config_interaction_item_bag","schema-different",66,55,0,39,27,16,"reward;show_type",""
"config_interaction_item_bag_group","records-different",2,3,0,1,1,2,"",""
"config_interaction_paper_cut_fomula","identical",126,126,126,0,0,0,"",""
"config_island","records-different",1087,591,522,69,496,0,"",""
"config_island_group","records-different",537,422,421,1,115,0,"",""
"config_item_exchange","records-different",117,29,0,29,88,0,"",""
"config_item_info","schema-different",731,342,0,297,434,45,"existtime;price;ryza_formula_id;ryza_type;ryza_type_num;saleable;score;show_in_shop",""
"config_item_recycling","records-different",302,57,36,15,251,6,"",""
"config_item_selected","records-different",346,85,0,83,263,2,"",""
"config_item_valentine_gift","records-different",121,119,0,119,2,0,"",""
"config_key_list","identical",228,228,228,0,0,0,"",""
"config_language","records-different",5493,5235,445,4531,517,259,"",""
"config_left_camera_controller","schema-different",29,18,0,0,29,18,"id;trigger_search_mode",""
"config_level_reward","identical",19,19,19,0,0,0,"",""
"config_loading","records-different",22,17,0,17,5,0,"",""
"config_loading_tips","records-different",30,30,0,29,1,1,"",""
"config_magazine_info","content-different",10,10,3,7,0,0,"",""
"config_magazine_page","records-different",126,116,14,91,21,11,"",""
"config_magazine_tag","content-different",25,25,1,24,0,0,"",""
"config_main_line_reward_arg","identical",9,9,9,0,0,0,"",""
"config_mask_word_test","identical",4,4,4,0,0,0,"",""
"config_medal","records-different",107,31,0,29,78,2,"",""
"config_minigame_ai","identical",31,31,31,0,0,0,"",""
"config_minigame_ai_type","identical",3,3,3,0,0,0,"",""
"config_minigame_buff","identical",18,18,18,0,0,0,"",""
"config_minigame_buff_type","identical",12,12,12,0,0,0,"",""
"config_minigame_copy","identical",123,123,123,0,0,0,"",""
"config_minigame_infinite_copy","content-different",4,4,0,4,0,0,"",""
"config_minigame_item","identical",14,14,14,0,0,0,"",""
"config_minigame_item_template","identical",10,10,10,0,0,0,"",""
"config_minigame_npc_info","identical",45,45,45,0,0,0,"",""
"config_minigame_skill","identical",3,3,3,0,0,0,"",""
"config_minigame_special_area","identical",98,98,98,0,0,0,"",""
"config_minigame_victory_condition","identical",33,33,33,0,0,0,"",""
"config_mission","identical",14,14,14,0,0,0,"",""
"config_mission_display","identical",9,9,9,0,0,0,"",""
"config_model_camera_config","records-different",245,216,202,10,33,4,"",""
"config_music","identical",13,13,13,0,0,0,"",""
"config_nav2d","cn-only",0,123,0,0,0,123,"","data;id"
"config_navmesh","records-different",168,147,146,1,21,0,"",""
"config_novice_ship_info","identical",7,7,7,0,0,0,"",""
"config_outpost_info","records-different",10,8,8,0,2,0,"",""
"config_outpost_level","records-different",70,56,0,56,14,0,"",""
"config_page_hide_type","identical",2,2,2,0,0,0,"",""
"config_page_switch_animation","identical",29,29,29,0,0,0,"",""
"config_page_type","identical",2,2,2,0,0,0,"",""
"config_parameter","records-different",429,358,324,29,76,5,"",""
"config_parameter_mail","records-different",86,73,0,67,19,6,"",""
"config_parameter_mail_test","identical",6,6,6,0,0,0,"",""
"config_period","records-different",751,315,65,174,512,76,"",""
"config_pet_main","identical",4,4,4,0,0,0,"",""
"config_pet_pskill_display","identical",5,5,5,0,0,0,"",""
"config_player_head_frame","records-different",92,26,0,25,67,1,"",""
"config_player_levelup","schema-different",100,100,0,100,0,0,"pvept_num;pvept_recovery",""
"config_plot_episode","identical",2341,2341,2341,0,0,0,"",""
"config_plot_episode_audio_character","records-different",8303,7068,7066,2,1235,0,"",""
"config_plot_episode_audio_event","records-different",8607,3617,3605,12,4990,0,"",""
"config_plot_episode_audio_main","records-different",9449,4870,4827,43,4579,0,"",""
"config_plot_episode_audio_wedding","records-different",680,537,521,16,143,0,"",""
"config_plot_episode_branch","content-different",2,2,0,2,0,0,"",""
"config_plot_episode_character","schema-different",8303,7068,0,7068,1235,0,"ship_scale",""
"config_plot_episode_effect","records-different",42,39,38,1,3,0,"",""
"config_plot_episode_event","schema-different",8607,3617,0,3617,4990,0,"ship_scale",""
"config_plot_episode_expression","records-different",1903,1309,1307,2,594,0,"",""
"config_plot_episode_main","schema-different",9450,4843,0,4843,4607,0,"ship_scale",""
"config_plot_episode_ship","records-different",449,349,203,145,101,1,"",""
"config_plot_episode_trigger","schema-different",2195,1682,0,1682,513,0,"plot_copydisplay_id_end_branch",""
"config_plot_episode_tween","records-different",255,166,166,0,89,0,"",""
"config_plot_episode_wedding","schema-different",680,537,0,537,143,0,"ship_scale",""
"config_privilegedesc","content-different",18,18,2,16,0,0,"",""
"config_profile","jp-only",307,0,0,0,0,0,"belongshipid;cost;costrate;default;desc;dropdesc;fashion;icon2;id;image;name;shownew;type",""
"config_prohibit_speed","identical",1,1,1,0,0,0,"",""
"config_prop","records-different",484,461,454,7,23,0,"",""
"config_pskill_dict_buff","records-different",1841,1350,1325,25,491,0,"",""
"config_pskill_dict_buff_cb_con","records-different",47,46,46,0,1,0,"",""
"config_pskill_dict_buff_cb_condition","identical",44,44,44,0,0,0,"",""
"config_pskill_dict_buff_factor","records-different",1835,1338,1313,25,497,0,"",""
"config_pskill_dict_buff_factor_args","identical",34,34,34,0,0,0,"",""
"config_pskill_dict_buff_trans","records-different",6,5,5,0,1,0,"",""
"config_pskill_dict_c_param","records-different",66,37,35,2,29,0,"",""
"config_pskill_dict_change","identical",10,10,10,0,0,0,"",""
"config_pskill_dict_condition","records-different",1340,896,855,30,455,11,"",""
"config_pskill_dict_condition2","records-different",4,3,3,0,1,0,"",""
"config_pskill_dict_display","schema-different",1136,814,0,814,322,0,"flag_skill",""
"config_pskill_dict_factor","records-different",1256,1164,1160,4,92,0,"",""
"config_pskill_dict_flag","records-different",111,95,95,0,16,0,"",""
"config_pskill_dict_group","schema-different",2845,2021,357,1663,825,1,"skill_replace;upgrade_materials_mub",""
"config_pskill_dict_main","schema-different",4564,3165,529,2580,1455,56,"pskill_factors_probability;trigger_probability;trigger_probability_group",""
"config_pskill_dict_select_item","records-different",67,53,52,1,14,0,"",""
"config_pskill_dict_select_target","records-different",120,94,4,89,27,1,"",""
"config_pskill_dict_select_target_item","identical",28,28,28,0,0,0,"",""
"config_pskill_sp_talent","identical",3,3,3,0,0,0,"",""
"config_pushnotice","schema-different",10,11,0,10,0,1,"","notice_type"
"config_qte_step","identical",4,4,4,0,0,0,"",""
"config_quality_param","schema-different",5,5,0,5,0,0,"preview_imgbg;preview_name_bg",""
"config_random_effect_target_type","identical",3,3,3,0,0,0,"",""
"config_random_factor","schema-different",394,227,0,223,171,4,"factor_image",""
"config_random_factor_group","records-different",373,223,219,0,154,4,"",""
"config_random_factor_set","schema-different",377,227,0,223,154,4,"factor_skip",""
"config_random_factor_target_type","identical",3,3,3,0,0,0,"",""
"config_random_factor_type","identical",9,9,9,0,0,0,"",""
"config_random_first_name_en","identical",237,237,237,0,0,0,"",""
"config_random_first_name_ja","content-different",97,97,65,32,0,0,"",""
"config_random_last_name_en","identical",196,196,196,0,0,0,"",""
"config_random_last_name_ja","content-different",95,95,50,45,0,0,"",""
"config_range","identical",0,0,0,0,0,0,"",""
"config_rank","records-different",6,4,1,3,2,0,"",""
"config_recharge","schema-different",607,167,0,4,603,163,"activitydrop;appeartype;boxexisttime;condition;drop;flag_id;pushnum;score;selltime;show_createdays;true_cost","discount_id"
"config_recharge_icon","identical",3,3,3,0,0,0,"",""
"config_recharge_selective","schema-different",4,3,0,3,1,0,"refresh_id",""
"config_rechargecondition","jp-only",20,0,0,0,0,0,"id;param1;param2;param3;type",""
"config_rechargetag","identical",2,2,2,0,0,0,"",""
"config_recipe","schema-different",20,19,0,19,1,0,"hide",""
"config_recipe_compose","jp-only",16,0,0,0,0,0,"id;item;rawmaterial1;rawmaterial2;rawmaterial3;type;typename;unlocklevel",""
"config_refresh","records-different",19,14,13,1,5,0,"",""
"config_report","identical",5,5,5,0,0,0,"",""
"config_return_stage","content-different",7,7,0,7,0,0,"",""
"config_rewards","records-different",7193,2942,1696,805,4692,441,"",""
"config_room","identical",2,2,2,0,0,0,"",""
"config_ryza_alchemy_formula","jp-only",58,0,0,0,0,0,"description;drop_id;drop_path;formula_type;icon;icon_small;id;item_group;level;name;prefab_type;product;quality;recommend_bg1;recommend_bg2;shop_bg;show_type;type",""
"config_ryza_alchemy_item","jp-only",564,0,0,0,0,0,"back_item;effect;id;item_type;materials;position;pre_item",""
"config_ryza_alchemy_type","jp-only",4,0,0,0,0,0,"desc;eff_normal;eff_normal_back;id;image_background;image_off;image_on;name;quality",""
"config_safearea","content-different",7,7,1,6,0,0,"",""
"config_safearea_condition","identical",69,69,69,0,0,0,"",""
"config_safearea_effect","records-different",183,158,158,0,25,0,"",""
"config_scene","records-different",252,204,200,4,48,0,"",""
"config_scene_position","records-different",18685,15878,15775,103,2807,0,"",""
"config_scene_weather","identical",1,1,1,0,0,0,"",""
"config_search3d_item","records-different",29,27,26,1,2,0,"",""
"config_search_goods_login","cn-only",0,21,0,0,0,21,"","icon;id;position;source_image"
"config_select_point_type","identical",2,2,2,0,0,0,"",""
"config_select_target_type","identical",7,7,7,0,0,0,"",""
"config_ship","identical",13,13,13,0,0,0,"",""
"config_ship_advance","records-different",2,1,1,0,1,0,"",""
"config_ship_behaviour_and_camera_info","records-different",542,416,291,63,188,62,"",""
"config_ship_break","schema-different",5277,3606,0,3606,1671,0,"break_item_mub;break_usableitem_mub",""
"config_ship_break_effect","records-different",92,78,78,0,14,0,"",""
"config_ship_class_index","identical",78,78,78,0,0,0,"",""
"config_ship_combat_effectiveness","identical",11,11,11,0,0,0,"",""
"config_ship_consumption","identical",1962,1962,1962,0,0,0,"",""
"config_ship_damage_coefficient","identical",42,42,42,0,0,0,"",""
"config_ship_dressup","records-different",749,657,598,22,129,37,"",""
"config_ship_enemy","records-different",10717,9835,7977,1301,1439,557,"",""
"config_ship_equip","records-different",4803,3210,96,3114,1593,0,"",""
"config_ship_exp_item","schema-different",6,4,0,4,2,0,"ship_country;ship_type",""
"config_ship_fleet","schema-different",378,350,0,350,28,0,"cannot_marry;combination_open;common_break_item;remould;same_character;sf_special_bgm","remould_si_id"
"config_ship_forbidden","identical",2,2,2,0,0,0,"",""
"config_ship_formation_coefficient","identical",80,80,80,0,0,0,"",""
"config_ship_gained_way","identical",97,97,97,0,0,0,"",""
"config_ship_handbook","records-different",216,186,81,105,30,0,"",""
"config_ship_hp_prop_change","records-different",180,138,138,0,42,0,"",""
"config_ship_hp_state","identical",5,5,5,0,0,0,"",""
"config_ship_info","schema-different",1478,1195,0,1195,283,0,"vow_item_mub;vow_item_num_mub",""
"config_ship_levelup","content-different",100,100,81,19,0,0,"",""
"config_ship_levelup_mub","jp-only",100,0,0,0,0,0,"attribute_level;exp;level",""
"config_ship_main","schema-different",4809,3204,0,3204,1605,0,"antisubmarine;antisubmarine_levelup;submarine;submarine_levelup",""
"config_ship_max_power","records-different",5247,3570,1716,1854,1677,0,"",""
"config_ship_model","records-different",468,290,209,77,182,4,"",""
"config_ship_model_animation","identical",716,716,716,0,0,0,"",""
"config_ship_model_facial_animation","identical",815,815,815,0,0,0,"",""
"config_ship_model_look_camera","identical",14,14,14,0,0,0,"",""
